SourcePub,Profile_name,X,Y
Frankel2001,23,87.838,540.897
Frankel2001,23,93.029,539.915
Frankel2001,23,98.219,538.794
Frankel2001,23,98.219,538.794
Frankel2001,23,100.815,538.093
Frankel2001,23,103.41,537.392
Frankel2001,23,106.141,536.691
Frankel2001,23,108.736,536.13
Frankel2001,23,108.736,536.13
Frankel2001,23,111.469,535.85
Frankel2001,23,114.474,535.709
Frankel2001,23,117.205,535.569
Frankel2001,23,118.435,535.429
Frankel2001,23,119.664,535.289
Frankel2001,23,119.664,535.289
Frankel2001,23,121.85,534.869
Frankel2001,23,123.625,534.448
Frankel2001,23,125.264,533.887
Frankel2001,23,125.947,533.606
Frankel2001,23,126.494,533.186
Frankel2001,23,126.494,533.186
Frankel2001,23,126.903,532.766
Frankel2001,23,127.176,532.204
Frankel2001,23,127.45,531.643
Frankel2001,23,127.586,531.083
Frankel2001,23,127.723,529.962
Frankel2001,23,127.86,529.401
Frankel2001,23,127.996,528.981
Frankel2001,23,127.996,528.981
Frankel2001,23,128.542,528.419
Frankel2001,23,128.953,527.998
Frankel2001,23,129.499,527.719
Frankel2001,23,130.045,527.438
Frankel2001,23,130.045,527.438
Frankel2001,23,131.001,526.596
Frankel2001,23,131.821,525.755
Frankel2001,23,131.821,525.755
Frankel2001,23,132.504,525.055
Frankel2001,23,133.05,524.355
Frankel2001,23,133.05,524.355
Frankel2001,23,133.87,523.513
Frankel2001,23,134.279,523.093
Frankel2001,23,134.69,522.812
Frankel2001,23,134.69,522.812
Frankel2001,23,134.962,522.671
Frankel2001,23,135.236,522.532
Frankel2001,23,135.509,522.391
Frankel2001,23,135.918,522.111
Frankel2001,23,135.918,522.111
Frankel2001,23,136.329,521.69
Frankel2001,23,136.874,521.269
Frankel2001,23,137.285,520.708
Frankel2001,23,137.83,520.289
Frankel2001,23,137.83,520.289
Frankel2001,23,138.377,519.868
Frankel2001,23,139.06,519.588
Frankel2001,23,139.607,519.166
Frankel2001,23,140.153,518.886
Frankel2001,23,140.153,518.886
Frankel2001,23,140.563,518.606
Frankel2001,23,140.837,518.326
Frankel2001,23,141.109,518.047
Frankel2001,23,141.519,517.625
Frankel2001,23,141.519,517.625
Frankel2001,23,142.202,517.204
Frankel2001,23,142.885,516.643
Frankel2001,23,143.704,516.082
Frankel2001,23,144.387,515.663
Frankel2001,23,144.387,515.663
Frankel2001,23,145.48,514.961
Frankel2001,23,146.573,514.26
