FaultorEarthquake,SourcePub,Profile_name,X_scale_meters_per_point,Y_scale_meters_per_point,Scarp_type,Num_events,Measure_method,Cell_size_meters,Latitude,longitude,Datum,UTM_easting,UTM_northing,zone,age,age_err
Black Mountain Fault Zone,Frankel2001,23,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,0.6,0.4
Black Mountain Fault Zone,Frankel2001,3,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,0.6,0.4
Black Mountain Fault Zone,Frankel2001,9,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,0.6,0.4
Black Mountain Fault Zone,Frankel2001,15,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,0.6,0.4
Black Mountain Fault Zone,Frankel2001,17,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,0.6,0.4
Black Mountain Fault Zone,Frankel2001,24,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,0.6,0.4
Black Mountain Fault Zone,Frankel2001,1872,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,0.15,0
Black Mountain Fault Zone,Frankel2001,1,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,4.5,1.2
Black Mountain Fault Zone,Frankel2001,5,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,4.5,1.2
Black Mountain Fault Zone,Frankel2001,10,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,4.5,1.2
Black Mountain Fault Zone,Frankel2001,12,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,4.5,1.2
Black Mountain Fault Zone,Frankel2001,13,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,4.5,1.2
Black Mountain Fault Zone,Frankel2001,14,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,4.5,1.2
Black Mountain Fault Zone,Frankel2001,19,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,4.5,1.2
Black Mountain Fault Zone,Frankel2001,21,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,4.5,1.2
Black Mountain Fault Zone,Frankel2001,22,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,4.5,1.2
Black Mountain Fault Zone,Frankel2001,8,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,7,1.1
Black Mountain Fault Zone,Frankel2001,11,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,7,1.1
Black Mountain Fault Zone,Frankel2001,18,0.05,0.05,SES,1,Survey-StadiaRod,NA,36.173159,-116.769885,WGS84,NA,NA,NA,7,1.1
WasatchLevan,HyllandMachette2008,m63,0.277777778,0.277777778,SES,1,Survey-StadiaRod,NA,,,NAD1927,428800,4379970,12,0.6,0.2
WasatchLevan,HyllandMachette2008,m62,0.277777778,0.277777778,SES,1,Survey-StadiaRod,NA,,,NAD1927,428730,4379820,12,0.6,0.2
WasatchLevan,HyllandMachette2008,m61,0.277777778,0.277777778,SES,1,Survey-StadiaRod,NA,,,NAD1927,428650,4379420,12,0.6,0.2
WasatchLevan,HyllandMachette2008,m60,0.277777778,0.277777778,SES,1,Survey-StadiaRod,NA,,,NAD1927,428650,4379360,12,0.6,0.2
WasatchLevan,HyllandMachette2008,m64,0.277777778,0.277777778,MES,2,Survey-StadiaRod,NA,,,NAD1927,427420,4377100,12,3.5,0.4
WasatchLevan,HyllandMachette2008,m65,0.277777778,0.277777778,SES,1,Survey-StadiaRod,NA,,,NAD1927,425850,4374950,12,0.6,0.2
WasatchLevan,HyllandMachette2008,m66,0.277777778,0.277777778,SES,1,Survey-StadiaRod,NA,,,NAD1927,425830,4374790,12,0.6,0.2
